index,pic_key,date_hour,date,co2,stemp,stemp2,stemp3,stemp4,stemp5,shumi,shumi2,shumi3,shumi4,shumi5,ts,insert_time,humi,pm10,pm25,press,solar,temp,wind_d,wind_sp,LAI,image_path,label,sensor,fold
0.167785235,/789/1656980149_1656979873_4.jpg,2022-07-05 08,2022/7/5,0.471489362,0.605095541,0.597014925,0.724137931,0.946886447,0.6875,0.863888889,0.910485934,0.738916256,0.982666667,0.497487437,5/7/2022 08:31:50,6/7/2022 01:00:28,0.70942029,0.021755439,0.020255064,0.537091988,0.3836,0.812929293,0.235130628,0.219084713,0.725931802,/home/junsheng/data/tianhang_rice/1656980149_1656979873_4.jpg,0.725931802,"[0.4714893617021277, 0.6050955414012739, 0.5970149253731345, 0.7241379310344828, 0.6875, 0.8638888888888892, 0.9104859335038363, 0.7389162561576356, 0.49748743718592964, 0.7094202898550726, 0.02175543885971493, 0.020255063765941484, 0.5370919881305656, 0.3836, 0.812929292929293, 0.23513062812673705, 0.21908471275559885]",0
0.168424417,/789/1656994493_1656987073_4.jpg,2022-07-05 10,2022/7/5,0.464680851,0.605095541,0.597014925,0.706896552,0.945054945,0.6875,0.863888889,0.915601023,0.738916256,0.982666667,0.497487437,5/7/2022 10:31:50,6/7/2022 01:00:36,0.674637681,0.017254314,0.017254314,0.53115727,0.4805,0.856161616,0.863535297,0.049659202,0.725931802,/home/junsheng/data/tianhang_rice/1656994493_1656987073_4.jpg,0.725931802,"[0.4646808510638298, 0.6050955414012739, 0.5970149253731345, 0.706896551724138, 0.6875, 0.8638888888888892, 0.9156010230179029, 0.7389162561576356, 0.49748743718592964, 0.6746376811594202, 0.0172543135783946, 0.0172543135783946, 0.531157270029674, 0.4805, 0.8561616161616162, 0.8635352973874374, 0.04965920155793574]",0
0.170981144,/789/1657052412_1657051871_4.jpg,2022-07-06 04,2022/7/6,0.591489362,0.643312102,0.626865672,0.75,0.952380952,0.708333333,0.861111111,0.923273657,0.743842365,0.985333333,0.502512563,6/7/2022 04:31:50,7/7/2022 01:00:13,0.868985507,0.048762191,0.035258815,0.584569733,0.03555,0.669090909,0.117287382,0.072054528,0.73025732,/home/junsheng/data/tianhang_rice/1657052412_1657051871_4.jpg,0.73025732,"[0.5914893617021276, 0.6433121019108279, 0.6268656716417911, 0.7500000000000001, 0.7083333333333333, 0.861111111111111, 0.9232736572890026, 0.7438423645320196, 0.5025125628140701, 0.8689855072463767, 0.04876219054763691, 0.035258814703675916, 0.5845697329376847, 0.03555, 0.6690909090909091, 0.11728738187882157, 0.07205452775073029]",0
0.173218281,/789/1657080954_1657080674_4.jpg,2022-07-06 12,2022/7/6,0.459574468,0.624203822,0.604477612,0.724137931,0.948717949,0.708333333,0.863888889,0.936061381,0.743842365,0.984,0.497487437,6/7/2022 12:01:50,7/7/2022 01:00:39,0.604057971,0.024006002,0.022505626,0.569732938,0.4807,0.909494949,0.350472485,0.271665044,0.73025732,/home/junsheng/data/tianhang_rice/1657080954_1657080674_4.jpg,0.73025732,"[0.4595744680851064, 0.624203821656051, 0.6044776119402985, 0.7241379310344828, 0.7083333333333333, 0.8638888888888892, 0.9360613810741688, 0.7438423645320196, 0.49748743718592964, 0.6040579710144929, 0.024006001500375095, 0.02250562640660165, 0.5697329376854591, 0.4807, 0.9094949494949496, 0.3504724847137298, 0.27166504381694256]",0
0.174816235,/789/1657095295_1657095076_4.jpg,2022-07-06 16,2022/7/6,0.45787234,0.668789809,0.619402985,0.75,0.950549451,0.708333333,0.866666667,0.915601023,0.738916256,0.985333333,0.497487437,6/7/2022 16:31:50,7/7/2022 01:00:58,0.533623188,0.015003751,0.015003751,0.519287834,0.17465,0.952727273,0.342412451,0.306718598,0.73025732,/home/junsheng/data/tianhang_rice/1657095295_1657095076_4.jpg,0.73025732,"[0.45787234042553193, 0.6687898089171975, 0.6194029850746268, 0.7500000000000001, 0.7083333333333333, 0.8666666666666667, 0.9156010230179029, 0.7389162561576356, 0.49748743718592964, 0.533623188405797, 0.015003750937734433, 0.015003750937734433, 0.5192878338278942, 0.17465, 0.9527272727272726, 0.3424124513618677, 0.3067185978578384]",0
0.178331735,/789/1657167271_1657167072_4.jpg,2022-07-07 12,2022/7/7,0.476595745,0.630573248,0.626865672,0.74137931,0.954212454,0.729166667,0.880555556,0.925831202,0.74137931,0.982666667,0.497487437,7/7/2022 12:01:50,8/7/2022 01:00:39,0.709565217,0.009002251,0.009002251,0.513353116,0,0.772929293,0.386047804,0.180136319,0.733103359,/home/junsheng/data/tianhang_rice/1657167271_1657167072_4.jpg,0.733103359,"[0.4765957446808511, 0.6305732484076433, 0.6268656716417911, 0.7413793103448276, 0.7291666666666665, 0.8805555555555556, 0.925831202046036, 0.7413793103448276, 0.49748743718592964, 0.7095652173913043, 0.00900225056264066, 0.00900225056264066, 0.5133531157270027, 0.0, 0.7729292929292929, 0.3860478043357421, 0.18013631937682573]",0
0.180888463,/789/1657224850_1657224671_4.jpg,2022-07-08 04,2022/7/8,0.550638298,0.611464968,0.611940299,0.732758621,0.952380952,0.71875,0.869444444,0.913043478,0.738916256,0.982666667,0.492462312,8/7/2022 04:01:50,9/7/2022 01:00:09,0.918550725,0.005251313,0.004501125,0.424332344,0.00285,0.57979798,0.340744858,0.138266796,0.734829899,/home/junsheng/data/tianhang_rice/1657224850_1657224671_4.jpg,0.734829899,"[0.5506382978723404, 0.6114649681528661, 0.6119402985074628, 0.7327586206896554, 0.7187500000000001, 0.8694444444444447, 0.9130434782608697, 0.7389162561576356, 0.4924623115577892, 0.9185507246376811, 0.005251312828207052, 0.00450112528132033, 0.42433234421364935, 0.0028499999999999997, 0.5797979797979799, 0.34074485825458584, 0.1382667964946446]",0
0.182806008,/789/1657246442_1657246271_4.jpg,2022-07-08 10,2022/7/8,0.520851064,0.573248408,0.589552239,0.698275862,0.946886447,0.708333333,0.869444444,0.928388747,0.738916256,0.982666667,0.492462312,8/7/2022 10:01:50,9/7/2022 01:00:32,0.888405797,0.015753938,0.014253563,0.37388724,0.0558,0.575757576,0.326570317,0.323271665,0.734829899,/home/junsheng/data/tianhang_rice/1657246442_1657246271_4.jpg,0.734829899,"[0.5208510638297872, 0.5732484076433121, 0.5895522388059702, 0.6982758620689655, 0.7083333333333333, 0.8694444444444447, 0.9283887468030692, 0.7389162561576356, 0.4924623115577892, 0.8884057971014492, 0.015753938484621154, 0.014253563390847712, 0.3738872403560845, 0.0558, 0.5757575757575758, 0.3265703168426904, 0.32327166504381694]",0
0.183764781,/789/1657253695_1657253472_4.jpg,2022-07-08 12,2022/7/8,0.513191489,0.560509554,0.574626866,0.689655172,0.945054945,0.697916667,0.866666667,0.923273657,0.738916256,0.982666667,0.492462312,8/7/2022 12:31:50,9/7/2022 01:00:44,0.832318841,0.011252813,0.011252813,0.350148368,0.0487,0.597171717,0.3549194,0.213242454,0.734829899,/home/junsheng/data/tianhang_rice/1657253695_1657253472_4.jpg,0.734829899,"[0.5131914893617021, 0.5605095541401275, 0.5746268656716419, 0.6896551724137933, 0.6979166666666665, 0.8666666666666667, 0.9232736572890026, 0.7389162561576356, 0.4924623115577892, 0.8323188405797103, 0.011252813203300824, 0.011252813203300824, 0.35014836795252163, 0.0487, 0.5971717171717172, 0.3549193996664814, 0.21324245374878287]",0
0.186321508,/789/1657311258_1657311070_4.jpg,2022-07-09 04,2022/7/9,0.54893617,0.522292994,0.537313433,0.637931034,0.935897436,0.645833333,0.869444444,0.915601023,0.738916256,0.981333333,0.487437186,9/7/2022 04:31:50,10/7/2022 01:00:13,0.934782609,0.005251313,0.003750938,0.347181009,0.00185,0.561212121,0.315175097,0.376825706,0.736932083,/home/junsheng/data/tianhang_rice/1657311258_1657311070_4.jpg,0.736932083,"[0.548936170212766, 0.5222929936305732, 0.537313432835821, 0.6379310344827587, 0.6458333333333331, 0.8694444444444447, 0.9156010230179029, 0.7389162561576356, 0.4874371859296481, 0.9347826086956522, 0.005251312828207052, 0.0037509377344336083, 0.3471810089020758, 0.00185, 0.5612121212121213, 0.3151750972762646, 0.37682570593963]",0
